DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC41101,105897.0,VIVA KIDS,GCC,PRESCHOOL,1207 QUENTIN RD,BROOKLYN,11229,(917) 609-0760,2 YEARS - 5 YEARS,38,No,3182349.0,3067750043.0,315.0,48.0,55400.0,BK25,40.607969524285,-73.960783611128
DC43726,106595.0,Kennedy Children's Center,GCC,PRESCHOOL,333 EAST 115 STREET,MANHATTAN,10029,(212) 988-9500,2 YEARS - 5 YEARS,34,No,1052905.0,1016870017.0,111.0,8.0,18800.0,MN34,40.795734118392,-73.936918648166
DC42292,106181.0,NACHAS PLAYGROUP LLC,GCC,INFANT TODDLER,428 WYTHE AVENUE,BROOKLYN,11249,(718) 517-8020,0 YEARS - 2 YEARS,92,No,3063648.0,3024697503.0,301.0,33.0,54900.0,BK73,40.711202471137,-73.966533627566
DC22162,22037.0,BUMBLEBEES R-US INC.,GCC,PRESCHOOL,443 TARGEE STREET,STATEN ISLAND,10304,(718) 727-2724,2 YEARS - 5 YEARS,35,No,5016361.0,5006440009.0,501.0,49.0,2900.0,SI37,40.616132581468,-74.084738556153
DC42952,106206.0,BEANSTALK CHILD CARE ACADEMY,GCC,PRESCHOOL,1334 LOUIS NINE BOULEVARD,BRONX,10459,(718) 991-2119,2 YEARS - 5 YEARS,153,No,2118405.0,2029767501.0,203.0,17.0,12300.0,BX75,40.831528143485,-73.892335904079
DC37869,105389.0,ALPHABET CITY CHILD CARE CENTER LLC,GCC,PRESCHOOL,26-27 2 STREET,QUEENS,11102,(718) 626-0050,2 YEARS - 5 YEARS,54,No,4615286.0,4009140005.0,401.0,22.0,8700.0,QN71,40.776275366816,-73.934770788426
DC10600,7249.0,"TUTOR TIME LEARNING CENTERS, LLC.",GCC,PRESCHOOL,7817-25 3 AVENUE,BROOKLYN,11209,(718) 680-6566,2 YEARS - 5 YEARS,32,No,3150280.0,3059690001.0,310.0,47.0,6400.0,BK31,40.62909375043,-74.028745246123
DC16645,4032.0,TREMONT CROTONA EARLY LEARN CENTER,GCC,PRESCHOOL,1600 CROTONA PARK EAST,BRONX,10460,(718) 378-5600,2 YEARS - 5 YEARS,50,No,2009866.0,2029390090.0,203.0,15.0,15500.0,BX75,40.836698167497,-73.891203582188
DC41305,105999.0,JHELC INC,GCC,PRESCHOOL,33-11 77 STREET,QUEENS,11372,(646) 243-7595,2 YEARS - 5 YEARS,13,No,4028769.0,4012500063.0,403.0,25.0,28700.0,QN28,40.754667319366,-73.889930399258
DC1161,2323.0,THE CHURCH ON THE HILL - REFORMED,GCC,PRESCHOOL,167-07 35 AVENUE,QUEENS,11358,(718) 539-0732,2 YEARS - 5 YEARS,72,No,4118837.0,4052520077.0,407.0,19.0,114100.0,QN51,40.765050056749,-73.798442971464
DC19444,8166.0,RAINBOW CHILD DEVELOPMENT,GCC,PRESCHOOL,133-20 AVERY    AVENUE,QUEENS,11355,(718) 321-1610,2 YEARS - 5 YEARS,154,No,,,,,,,,
DC20592,8395.0,SUNSHINE  NURSERY & DAY CARE INC.,GCC,PRESCHOOL,580A GATES AVENUE,BROOKLYN,11221,(718) 452-9740,2 YEARS - 5 YEARS,26,No,3051227.0,3018150039.0,303.0,36.0,26500.0,BK75,40.687140460238,-73.942423207627
DC25309,48737.0,PARSONS PRESCHOOL,GCC,PRESCHOOL,231-10 HILLSIDE AVENUE,QUEENS,11427,(718) 464-5606,2 YEARS - 5 YEARS,232,Yes,4166214.0,4079400027.0,413.0,23.0,130100.0,QN43,40.733057261747,-73.738693387758
DC43872,106694.0,OITZERLECH INC.,GCC,PRESCHOOL,21 MESEROLE STREET,BROOKLYN,11206,(929) 539-0560,2 YEARS - 5 YEARS,26,No,3427297.0,3030400044.0,301.0,34.0,51100.0,BK90,40.707485313741,-73.949518307451
DC40635,105614.0,"B'ABOVE WORLDWIDE INSTITUTE, INC",GCC,PRESCHOOL,1919 CORTELYOU ROAD,BROOKLYN,11226,(718) 288-9546,2 YEARS - 5 YEARS,117,No,3118534.0,3051500031.0,314.0,40.0,51400.0,BK42,40.642965438117,-73.960546761805
DC11818,7734.0,"HAPPY DRAGON OF USA, INC",GCC,PRESCHOOL,98-25 HORACE HARDING EXPRESSWAY,QUEENS,11368,(718) 446-9021,2 YEARS - 5 YEARS,150,No,4047330.0,4019180090.0,404.0,21.0,45500.0,QN25,40.735679128072,-73.859813694227
DC21252,8252.0,"CENTRAL PARK MONTESSORI, INC.",GCC,PRESCHOOL,1 WEST 91ST STREET,MANHATTAN,10024,(212) 595-2000,2 YEARS - 5 YEARS,126,Yes,1031625.0,1012050029.0,107.0,6.0,17700.0,MN12,40.788528047931,-73.967130193305
DC34674,103851.0,"BRIGHT START CHILD LEARNING CENTER, INC.",GCC,INFANT TODDLER,23-88 31 STREET,QUEENS,11105,(718) 777-2347,0 YEARS - 2 YEARS,64,No,4597006.0,4008427501.0,401.0,22.0,11500.0,QN72,40.772526896412,-73.915108608042
DC37978,104839.0,"Learning Ladder Daycare Center, LLC",GCC,PRESCHOOL,2082 UTICA  AVENUE,BROOKLYN,11234,(929) 417-2463,2 YEARS - 5 YEARS,44,No,3336927.0,3078740052.0,318.0,46.0,67200.0,BK58,40.62077391865,-73.927085032875
DC2224,5205.0,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,GCC,INFANT TODDLER,5 WEST 63 STREET,MANHATTAN,10023,(212) 912-2650,0 YEARS - 2 YEARS,28,No,1027468.0,1011160024.0,107.0,6.0,14900.0,MN14,40.770681958402,-73.980464658752
DC40208,105468.0,"SHOLOM, SHOLOM INC.",GCC,PRESCHOOL,83-78 DANIELS STREET,QUEENS,11435,(718) 487-3747,2 YEARS - 5 YEARS,107,No,4207889.0,4097160154.0,408.0,24.0,22002.0,QN35,40.713651837152,-73.814936047246
DC21253,8251.0,"CENTRAL PARK MONTESSORI, INC.",GCC,INFANT TODDLER,1 WEST 91ST STREET,MANHATTAN,10024,(212) 595-2000,0 YEARS - 2 YEARS,36,Yes,1031625.0,1012050029.0,107.0,6.0,17700.0,MN12,40.788528047931,-73.967130193305
DC44914,,BET YAAKOV MEKOR HAIM,SBCC,PRESCHOOL,1649 EAST   13 STREET,BROOKLYN,11229,(718) 332-0399,3 YEARS - 5 YEARS,NO DATA,No,3409262.0,3067760055.0,315.0,48.0,55400.0,BK25,40.609127633715,-73.960231893905
DC44747,106754.0,PANTOMIMA BIG KIDS CARE CORP.,GCC,INFANT TODDLER,4102 8 AVENUE,BROOKLYN,11232,(774) 316-0750,0 YEARS - 2 YEARS,10,No,3425760.0,3009227503.0,307.0,38.0,9200.0,BK34,40.646065591271,-73.998569397608
DC42144,106341.0,"CHILDTIME CHILDCARE, INC",GCC,INFANT TODDLER,762 41 STREET,BROOKLYN,11232,(845) 560-6659,0 YEARS - 2 YEARS,13,No,3397586.0,3009227502.0,307.0,38.0,9200.0,BK34,40.646685918901,-73.999365772365
DC42968,106198.0,BEANSTALK CHILD CARE ACADEMY,GCC,INFANT TODDLER,58 BELMONT AVENUE,BROOKLYN,11212,(718) 346-1064,0 YEARS - 2 YEARS,43,No,3081140.0,3035260215.0,316.0,41.0,90600.0,BK81,40.668733631281,-73.908183093392
DC15291,7806.0,CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS ( I/T),GCC,INFANT TODDLER,852 CLASSON AVENUE,BROOKLYN,11238,(718) 399-3979,0 YEARS - 2 YEARS,20,No,3029648.0,3011800025.0,308.0,35.0,21500.0,BK64,40.67180231041,-73.96119294485
DC42149,106342.0,"CHILDTIME CHILDCARE, INC",GCC,PRESCHOOL,762 41 STREET,BROOKLYN,11232,(845) 560-6659,2 YEARS - 5 YEARS,28,No,3397586.0,3009227502.0,307.0,38.0,9200.0,BK34,40.646685918901,-73.999365772365
DC2118,6344.0,BROOKLYN CHILD CARE,GCC,PRESCHOOL,800 POLY PLACE,BROOKLYN,11209,(917) 329-4764,2 YEARS - 5 YEARS,30,No,3345707.0,3061530001.0,310.0,50.0,16400.0,BK31,40.609255542125,-74.023989844082
DC39933,106006.0,PARSONS PRESCHOOL,GCC,PRESCHOOL,156-45 84 STREET,QUEENS,11414,(718) 464-5606,2 YEARS - 5 YEARS,98,Yes,4292302.0,4139490026.0,410.0,32.0,89200.0,QN57,40.661864169304,-73.849224719527
DC39932,105860.0,CIRCLE ACADEMY,GCC,PRESCHOOL,156-45 84 STREET,QUEENS,11414,(718) 229-5050,2 YEARS - 5 YEARS,157,No,4292302.0,4139490026.0,410.0,32.0,89200.0,QN57,40.661864169304,-73.849224719527
DC43850,106482.0,PLAYTO PACIFIC LLC,GCC,INFANT TODDLER,979 PACIFIC STREET,BROOKLYN,11238,(212) 590-5845,0 YEARS - 2 YEARS,60,No,3418381.0,3011257501.0,308.0,35.0,30500.0,BK61,40.679594716621,-73.961152339316
DC25613,51759.0,SAINT CHRISTOPHER  OTTLIE,GCC,PRESCHOOL,411 THATFORD AVENUE,BROOKLYN,11212,(929) 234-6870,2 YEARS - 5 YEARS,144,No,3082389.0,3036040001.0,316.0,41.0,91800.0,BK81,40.660298257452,-73.907354945299
DC44221,106756.0,"IMAGINE EARLY LEARNING CENTERS, LLC",GCC,PRESCHOOL,2870 GOULDEN AVENUE,BRONX,10468,(718) 960-8746,2 YEARS - 5 YEARS,80,No,2119733.0,2032470001.0,207.0,11.0,40900.0,BX28,40.873171841314,-73.89595280759
DC38081,104904.0,"TLE AT QUEENS-LONG ISLAND CITY, LLC",GCC,INFANT TODDLER,27-28 THOMSON AVENUE,QUEENS,11101,(718) 433-4007,NO DATA,68,Yes,4000697.0,4000827501.0,402.0,26.0,1900.0,QN31,40.746188471565,-73.942029127028
DC42975,106199.0,BEANSTALK CHILD CARE ACADEMY,GCC,PRESCHOOL,58 BELMONT AVENUE,BROOKLYN,11212,(718) 346-1064,2 YEARS - 5 YEARS,120,No,3081140.0,3035260215.0,316.0,41.0,90600.0,BK81,40.668733631281,-73.908183093392
